dtime,wave
2019-06-26 09:13:24,task
2019-06-26 09:13:28,is_task
2019-06-26 09:13:32,is_task
2019-06-26 09:13:36,study
2019-06-26 09:13:40,study
2019-06-26 09:13:44,is_task
2019-06-26 09:13:48,task
2019-06-26 09:13:52,survey
2019-06-26 09:13:56,study
2019-06-26 09:14:00,is_study
2019-06-26 09:14:04,survey
2019-06-26 09:14:08,is_study
2019-06-26 09:14:12,study
2019-06-26 09:14:19,is_task
2019-06-26 09:14:20,task
2019-06-26 09:14:25,survey
2019-06-26 09:14:28,is_survey
2019-06-26 09:14:32,task
2019-06-26 09:14:36,task
2019-06-26 09:14:40,task
2019-06-26 09:14:44,survey
2019-06-26 09:14:48,task
2019-06-26 09:14:52,study
2019-06-26 09:14:56,is_task
2019-06-26 09:15:00,is_task
2019-06-26 09:15:05,study
2019-06-26 09:15:08,is_survey
2019-06-26 09:15:12,survey
2019-06-26 09:15:16,is_study
2019-06-26 09:15:20,is_survey
2019-06-26 09:15:24,is_study
2019-06-26 09:15:28,is_study
2019-06-26 09:15:32,is_task
2019-06-26 09:15:37,study
2019-06-26 09:15:40,task
2019-06-26 09:15:44,task
2019-06-26 09:15:48,task
2019-06-26 09:15:52,is_survey
2019-06-26 09:15:56,task
2019-06-26 09:16:00,study
2019-06-26 09:16:04,task
2019-06-26 09:16:08,survey
2019-06-26 09:16:12,task
2019-06-26 09:16:16,task
2019-06-26 09:16:20,task
2019-06-26 09:16:24,study
2019-06-26 09:16:28,survey
2019-06-26 09:16:32,study
2019-06-26 09:16:36,is_task
2019-06-26 09:16:41,survey
2019-06-26 09:16:44,study
2019-06-26 09:16:49,is_survey
2019-06-26 09:16:52,study
2019-06-26 09:16:57,task
2019-06-26 09:17:00,study
2019-06-26 09:17:06,survey
2019-06-26 09:17:08,is_task
2019-06-26 09:17:12,survey
2019-06-26 09:17:16,study
2019-06-26 09:17:20,is_study
2019-06-26 09:17:24,task
2019-06-26 09:17:28,is_survey
2019-06-26 09:17:32,is_survey
2019-06-26 09:17:37,is_task
2019-06-26 09:17:40,task
2019-06-26 09:17:44,is_survey
2019-06-26 09:17:48,study
2019-06-26 09:17:52,is_task
2019-06-26 09:17:56,task
2019-06-26 09:18:01,task
2019-06-26 09:18:04,task
2019-06-26 09:18:08,task
2019-06-26 09:18:12,study
2019-06-26 09:18:16,study
2019-06-26 09:18:20,survey
2019-06-26 09:18:24,task
2019-06-26 09:18:28,is_survey
2019-06-26 09:18:32,is_study
2019-06-26 09:18:36,survey
2019-06-26 09:18:40,is_task
2019-06-26 09:18:44,task
2019-06-26 09:18:48,is_survey
2019-06-26 09:18:53,is_task
2019-06-26 09:18:56,task
2019-06-26 09:19:00,study
2019-06-26 09:19:04,task
2019-06-26 09:19:08,survey
2019-06-26 09:19:12,task
2019-06-26 09:19:16,survey
2019-06-26 09:19:20,study
2019-06-26 09:19:24,task
2019-06-26 09:19:28,is_survey
2019-06-26 09:19:32,study
2019-06-26 09:19:36,is_survey
2019-06-26 09:19:40,survey
2019-06-26 09:19:44,task
2019-06-26 09:19:48,survey
2019-06-26 09:19:52,is_task
2019-06-26 09:19:56,study
2019-06-26 09:20:00,task
2019-06-26 09:20:04,task
2019-06-26 09:20:08,study
2019-06-26 09:20:12,is_task
2019-06-26 09:20:16,study
2019-06-26 09:20:20,task
2019-06-26 09:20:24,survey
2019-06-26 09:20:28,is_task
2019-06-26 09:20:32,study
2019-06-26 09:20:36,is_task
2019-06-26 09:20:40,is_task
2019-06-26 09:20:44,is_task
2019-06-26 09:20:48,is_task
2019-06-26 09:20:52,task
2019-06-26 09:20:56,is_study
2019-06-26 09:21:00,is_survey
2019-06-26 09:21:04,survey
2019-06-26 09:21:08,is_task
2019-06-26 09:21:13,survey
2019-06-26 09:21:16,task
2019-06-26 09:21:20,is_task
2019-06-26 09:21:24,task
2019-06-26 09:21:28,study
2019-06-26 09:21:32,study
2019-06-26 09:21:36,is_task
2019-06-26 09:21:40,task
2019-06-26 09:21:44,task
2019-06-26 09:21:48,is_task
2019-06-26 09:21:52,task
2019-06-26 09:21:56,is_survey
2019-06-26 09:22:00,is_study
2019-06-26 09:22:04,is_task
2019-06-26 09:22:08,survey
2019-06-26 09:22:12,survey
2019-06-26 09:22:16,survey
2019-06-26 09:22:20,study
2019-06-26 09:22:24,task
2019-06-26 09:22:28,is_survey
2019-06-26 09:22:32,survey
2019-06-26 09:22:36,task
2019-06-26 09:22:40,is_survey
2019-06-26 09:22:44,task
2019-06-26 09:22:48,study
2019-06-26 09:22:52,study
2019-06-26 09:22:56,is_task
2019-06-26 09:23:00,task
2019-06-26 09:23:04,is_study
2019-06-26 09:23:08,task
2019-06-26 09:23:12,is_survey
2019-06-26 09:23:16,task
2019-06-26 09:23:20,task
2019-06-26 09:23:24,is_task
2019-06-26 09:23:28,task
2019-06-26 09:23:32,task
2019-06-26 09:23:36,is_task
2019-06-26 09:23:40,survey
2019-06-26 09:23:44,survey
2019-06-26 09:23:48,is_task
2019-06-26 09:23:52,study
2019-06-26 09:23:56,study
2019-06-26 09:24:00,task
2019-06-26 09:24:04,task
2019-06-26 09:24:08,study
2019-06-26 09:24:12,task
2019-06-26 09:24:16,study
2019-06-26 09:24:20,survey
2019-06-26 09:24:25,task
2019-06-26 09:24:28,survey
2019-06-26 09:24:32,is_survey
2019-06-26 09:24:36,survey
2019-06-26 09:24:40,study
2019-06-26 09:24:44,is_task
2019-06-26 09:24:48,study
2019-06-26 09:25:02,study
2019-06-26 09:25:17,survey
2019-06-26 09:25:18,survey
2019-06-26 09:25:23,task
2019-06-26 09:25:24,study
2019-06-26 09:25:25,is_survey
2019-06-26 09:25:25,task
2019-06-26 09:25:26,is_survey
2019-06-26 09:25:26,task
2019-06-26 09:25:28,task
2019-06-26 09:25:32,survey
2019-06-26 09:25:36,is_task
2019-06-26 09:25:40,survey
2019-06-26 09:25:44,task
2019-06-26 09:25:48,task
2019-06-26 09:25:52,study
2019-06-26 09:25:56,is_survey
2019-06-26 09:26:00,is_task
2019-06-26 09:26:04,survey
2019-06-26 09:26:08,study
2019-06-26 09:26:12,is_survey
2019-06-26 09:26:16,survey
2019-06-26 09:26:22,is_survey
2019-06-26 09:26:24,task
2019-06-26 09:26:28,study
2019-06-26 09:26:32,task
2019-06-26 09:26:36,is_study
2019-06-26 09:26:40,task
2019-06-26 09:26:44,is_task
2019-06-26 09:26:48,task
2019-06-26 09:26:52,is_survey
2019-06-26 09:26:56,survey
2019-06-26 09:27:00,task
2019-06-26 09:27:04,study
2019-06-26 09:27:08,task
2019-06-26 09:27:12,study
2019-06-26 09:27:16,survey
2019-06-26 09:27:20,is_task
2019-06-26 09:27:24,task
2019-06-26 09:27:28,survey
2019-06-26 09:27:32,survey
2019-06-26 09:27:36,survey
2019-06-26 09:27:41,task
2019-06-26 09:27:44,survey
2019-06-26 09:27:48,study
2019-06-26 09:27:52,study
2019-06-26 09:27:56,survey
2019-06-26 09:28:00,survey
2019-06-26 09:28:04,task
2019-06-26 09:28:08,study
2019-06-26 09:28:12,is_task
2019-06-26 09:28:16,survey
2019-06-26 09:28:20,task
2019-06-26 09:28:24,task
2019-06-26 09:28:28,task
2019-06-26 09:28:32,is_task
2019-06-26 09:28:36,is_study
2019-06-26 09:28:40,is_survey
2019-06-26 09:28:44,task
2019-06-26 09:28:48,task
2019-06-26 09:28:52,study
2019-06-26 09:28:56,survey
2019-06-26 09:29:00,task
2019-06-26 09:29:04,task
2019-06-26 09:29:08,is_task
2019-06-26 09:29:12,task
2019-06-26 09:29:16,survey
2019-06-26 09:29:20,task
2019-06-26 09:29:24,is_study
2019-06-26 09:29:28,task
2019-06-26 09:29:32,survey
2019-06-26 09:29:36,task
2019-06-26 09:29:40,is_task
2019-06-26 09:29:44,is_survey
2019-06-26 09:29:48,is_task
2019-06-26 09:29:52,is_task
2019-06-26 09:29:56,study
2019-06-26 09:30:00,task
2019-06-26 09:30:04,is_task
2019-06-26 09:30:08,task
2019-06-26 09:30:12,task
2019-06-26 09:30:16,is_task
2019-06-26 09:30:21,task
2019-06-26 09:30:24,study
2019-06-26 09:30:28,is_survey
2019-06-26 09:30:32,study
2019-06-26 09:30:36,study
2019-06-26 09:30:40,is_task
2019-06-26 09:30:44,is_survey
2019-06-26 09:30:48,is_task
2019-06-26 09:30:52,survey
2019-06-26 09:30:56,survey
2019-06-26 09:31:00,study
2019-06-26 09:31:04,task
2019-06-26 09:31:08,is_task
2019-06-26 09:31:12,task
2019-06-26 09:31:16,survey
2019-06-26 09:31:20,task
2019-06-26 09:31:24,survey
2019-06-26 09:31:28,is_task
2019-06-26 09:31:32,survey
2019-06-26 09:31:36,is_task
2019-06-26 09:31:40,task
2019-06-26 09:31:44,task
2019-06-26 09:31:48,task
2019-06-26 09:31:52,is_task
2019-06-26 09:31:56,survey
2019-06-26 09:32:00,task
2019-06-26 09:32:04,is_task
2019-06-26 09:32:08,survey
2019-06-26 09:32:12,task
2019-06-26 09:32:16,study
2019-06-26 09:32:20,is_task
2019-06-26 09:32:24,study
2019-06-26 09:32:28,task
2019-06-26 09:32:32,task
2019-06-26 09:32:36,study
2019-06-26 09:32:40,task
2019-06-26 09:32:44,survey
2019-06-26 09:32:48,task
2019-06-26 09:32:52,task
2019-06-26 09:32:56,is_task
2019-06-26 09:33:00,survey
2019-06-26 09:33:04,task
2019-06-26 09:33:08,is_survey
2019-06-26 09:33:12,is_task
2019-06-26 09:33:16,task
2019-06-26 09:33:20,survey
2019-06-26 09:33:24,survey
2019-06-26 09:33:28,study
2019-06-26 09:33:32,is_survey
2019-06-26 09:33:36,survey
2019-06-26 09:33:40,is_task
2019-06-26 09:33:44,survey
2019-06-26 09:33:48,task
2019-06-26 09:33:52,is_study
2019-06-26 09:33:56,is_task
2019-06-26 09:34:00,is_survey
2019-06-26 09:34:04,is_task
2019-06-26 09:34:08,is_task
2019-06-26 09:34:12,survey
2019-06-26 09:34:16,task
2019-06-26 09:34:20,task
2019-06-26 09:34:24,study
2019-06-26 09:34:28,is_study
2019-06-26 09:34:32,task
2019-06-26 09:34:36,task
2019-06-26 09:34:40,is_study
2019-06-26 09:34:44,is_survey
2019-06-26 09:34:48,is_task
2019-06-26 09:34:52,survey
2019-06-26 09:34:56,task
2019-06-26 09:35:00,is_task
2019-06-26 09:35:04,task
2019-06-26 09:35:08,is_task
2019-06-26 09:35:12,task
2019-06-26 09:35:16,task
2019-06-26 09:35:20,is_task
2019-06-26 09:35:24,is_study
2019-06-26 09:35:28,survey
2019-06-26 09:35:32,is_study
2019-06-26 09:35:36,is_task
2019-06-26 09:35:40,task
2019-06-26 09:35:44,task
2019-06-26 09:35:48,task
2019-06-26 09:35:52,study
2019-06-26 09:35:56,task
2019-06-26 09:36:00,survey
2019-06-26 09:36:04,survey
2019-06-26 09:36:08,is_survey
2019-06-26 09:36:16,is_survey
2019-06-26 09:36:20,study
2019-06-26 09:36:24,survey
2019-06-26 09:36:28,is_task
2019-06-26 09:36:32,survey
2019-06-26 09:36:36,task
2019-06-26 09:36:40,task
2019-06-26 09:36:44,task
2019-06-26 09:36:48,is_survey
2019-06-26 09:36:53,task
2019-06-26 09:36:56,is_task
2019-06-26 09:37:00,is_survey
2019-06-26 09:37:04,study
2019-06-26 09:37:08,task
2019-06-26 09:37:12,is_survey
2019-06-26 09:37:16,survey
2019-06-26 09:37:20,task
2019-06-26 09:37:24,task
2019-06-26 09:37:28,survey
2019-06-26 09:37:32,study
2019-06-26 09:37:36,is_survey
2019-06-26 09:37:40,survey
2019-06-26 09:37:44,task
2019-06-26 09:37:48,is_task
2019-06-26 09:37:52,task
2019-06-26 09:37:56,study
2019-06-26 09:38:00,task
2019-06-26 09:38:04,task
2019-06-26 09:38:08,task
2019-06-26 09:38:12,task
2019-06-26 09:38:16,task
2019-06-26 09:38:20,is_task
2019-06-26 09:38:24,task
2019-06-26 09:38:28,survey
2019-06-26 09:38:32,task
2019-06-26 09:38:36,is_task
2019-06-26 09:38:40,survey
2019-06-26 09:38:44,study
2019-06-26 09:38:48,is_task
2019-06-26 09:38:52,task
2019-06-26 09:38:56,is_task
2019-06-26 09:39:00,task
2019-06-26 09:39:04,is_task
2019-06-26 09:39:08,is_study
2019-06-26 09:39:12,task
2019-06-26 09:39:16,study
2019-06-26 09:39:20,is_study
2019-06-26 09:39:24,study
2019-06-26 09:39:28,task
2019-06-26 09:39:32,survey
2019-06-26 09:39:36,is_study
2019-06-26 09:39:40,is_task
2019-06-26 09:39:44,is_task
2019-06-26 09:39:48,task
2019-06-26 09:39:52,is_survey
2019-06-26 09:39:56,task
2019-06-26 09:40:00,is_study
2019-06-26 09:40:04,is_survey
2019-06-26 09:40:08,study
2019-06-26 09:40:12,task
2019-06-26 09:40:16,task
2019-06-26 09:40:20,is_task
2019-06-26 09:40:24,task
2019-06-26 09:40:28,task
2019-06-26 09:40:32,is_survey
2019-06-26 09:40:36,task
2019-06-26 09:40:40,task
2019-06-26 09:40:44,task
2019-06-26 09:40:48,is_study
2019-06-26 09:40:52,is_study
2019-06-26 09:40:56,is_study
2019-06-26 09:41:00,survey
2019-06-26 09:41:04,survey
2019-06-26 09:41:08,task
2019-06-26 09:41:12,task
2019-06-26 09:41:16,is_survey
2019-06-26 09:41:20,survey
2019-06-26 09:41:24,is_survey
2019-06-26 09:41:28,is_survey
2019-06-26 09:41:32,study
2019-06-26 09:41:36,task
2019-06-26 09:41:40,is_task
2019-06-26 09:41:44,study
2019-06-26 09:41:48,study
2019-06-26 09:41:52,is_study
2019-06-26 09:41:56,survey
2019-06-26 09:42:00,task
2019-06-26 09:42:05,task
2019-06-26 09:42:08,is_study
2019-06-26 09:42:13,study
2019-06-26 09:42:16,task
2019-06-26 09:42:20,task
2019-06-26 09:42:24,study
2019-06-26 09:42:28,survey
2019-06-26 09:42:32,survey
2019-06-26 09:42:36,is_study
2019-06-26 09:42:40,is_survey
2019-06-26 09:42:44,task
2019-06-26 09:42:48,is_task
2019-06-26 09:42:52,task
2019-06-26 09:42:56,task
2019-06-26 09:43:00,is_task
2019-06-26 09:43:04,study
2019-06-26 09:43:08,survey
2019-06-26 09:43:12,task
2019-06-26 09:43:16,study
2019-06-26 09:43:20,task
2019-06-26 09:43:24,task
2019-06-26 09:43:28,is_task
2019-06-26 09:43:32,study
2019-06-26 09:43:36,is_task
2019-06-26 09:43:40,study
2019-06-26 09:43:44,task
2019-06-26 09:43:48,is_task
2019-06-26 09:43:52,is_survey
2019-06-26 09:43:56,is_study
2019-06-26 09:44:00,study
2019-06-26 09:44:04,is_survey
2019-06-26 09:44:08,task
2019-06-26 09:44:12,survey
2019-06-26 09:44:16,task
2019-06-26 09:44:20,task
2019-06-26 09:44:24,study
2019-06-26 09:44:28,task
2019-06-26 09:44:32,is_survey
2019-06-26 09:44:36,survey
2019-06-26 09:44:40,study
2019-06-26 09:44:44,survey
2019-06-26 09:44:48,study
2019-06-26 09:44:52,study
2019-06-26 09:44:56,survey
2019-06-26 09:45:00,is_survey
2019-06-26 09:45:05,study
2019-06-26 09:45:08,is_task
2019-06-26 09:45:12,task
2019-06-26 09:45:16,is_study
2019-06-26 09:45:20,task
2019-06-26 09:45:24,task
2019-06-26 09:45:28,task
2019-06-26 09:45:32,survey
2019-06-26 09:45:36,survey
2019-06-26 09:45:40,is_study
2019-06-26 09:45:44,task
2019-06-26 09:45:52,is_study
2019-06-26 09:45:53,task
2019-06-26 09:45:56,task
2019-06-26 09:46:00,is_task
2019-06-26 09:46:04,is_task
2019-06-26 09:46:08,task
2019-06-26 09:46:12,is_task
2019-06-26 09:46:16,task
2019-06-26 09:46:20,survey
2019-06-26 09:46:24,survey
2019-06-26 09:46:28,is_task
2019-06-26 09:46:32,is_task
2019-06-26 09:46:36,is_task
2019-06-26 09:46:40,is_survey
2019-06-26 09:46:44,is_task
2019-06-26 09:46:48,survey
2019-06-26 09:46:52,is_survey
2019-06-26 09:46:56,task
2019-06-26 09:47:00,study
2019-06-26 09:47:04,is_survey
2019-06-26 09:47:08,task
2019-06-26 09:47:12,task
2019-06-26 09:47:16,task
2019-06-26 09:47:20,study
2019-06-26 09:47:24,task
2019-06-26 09:47:28,study
2019-06-26 09:47:32,task
2019-06-26 09:47:36,task
2019-06-26 09:47:40,is_survey
2019-06-26 09:47:44,task
2019-06-26 09:47:48,study
2019-06-26 09:47:52,is_survey
2019-06-26 09:47:56,study
2019-06-26 09:48:00,study
2019-06-26 09:48:04,survey
2019-06-26 09:48:08,survey
2019-06-26 09:48:12,is_study
2019-06-26 09:48:16,is_study
2019-06-26 09:48:20,task
2019-06-26 09:48:24,study
2019-06-26 09:48:28,is_task
2019-06-26 09:48:32,is_survey
2019-06-26 09:48:36,survey
2019-06-26 09:48:40,task
2019-06-26 09:48:44,is_study
2019-06-26 09:48:48,is_survey
2019-06-26 09:48:52,task
2019-06-26 09:48:56,study
2019-06-26 09:49:00,survey
2019-06-26 09:49:04,survey
2019-06-26 09:49:08,is_study
2019-06-26 09:49:12,is_task
2019-06-26 09:49:16,is_study
2019-06-26 09:49:20,survey
2019-06-26 09:49:24,is_task
2019-06-26 09:49:28,is_survey
2019-06-26 09:49:32,is_task
2019-06-26 09:49:36,study
2019-06-26 09:49:40,task
2019-06-26 09:49:44,survey
2019-06-26 09:49:48,is_study
2019-06-26 09:49:52,is_task
2019-06-26 09:49:56,survey
2019-06-26 09:50:00,task
2019-06-26 09:50:04,survey
2019-06-26 09:50:08,is_task
2019-06-26 09:50:12,is_survey
2019-06-26 09:50:16,study
2019-06-26 09:50:20,is_survey
2019-06-26 09:50:24,is_study
2019-06-26 09:50:28,task
2019-06-26 09:50:32,is_survey
2019-06-26 09:50:36,is_survey
2019-06-26 09:50:40,is_task
2019-06-26 09:50:45,study
2019-06-26 09:50:48,is_survey
2019-06-26 09:50:52,survey
2019-06-26 09:50:56,is_study
2019-06-26 09:51:00,task
2019-06-26 09:51:04,survey
2019-06-26 09:51:08,is_task
2019-06-26 09:51:12,survey
2019-06-26 09:51:16,survey
2019-06-26 09:51:20,task
2019-06-26 09:51:24,task
2019-06-26 09:51:28,is_task
2019-06-26 09:51:32,task
2019-06-26 09:51:36,survey
2019-06-26 09:51:40,is_survey
2019-06-26 09:51:44,task
2019-06-26 09:51:48,task
2019-06-26 09:51:52,task
2019-06-26 09:51:56,survey
2019-06-26 09:52:00,is_task
2019-06-26 09:52:04,study
2019-06-26 09:52:08,task
2019-06-26 09:52:12,task
2019-06-26 09:52:16,is_task
2019-06-26 09:52:20,survey
2019-06-26 09:52:24,task
2019-06-26 09:52:28,survey
2019-06-26 09:52:32,task
2019-06-26 09:52:36,is_task
2019-06-26 09:52:40,study
2019-06-26 09:52:44,task
2019-06-26 09:52:48,survey
2019-06-26 09:52:52,task
2019-06-26 09:52:56,task
2019-06-26 09:53:00,task
2019-06-26 09:53:04,task
2019-06-26 09:53:08,is_survey
2019-06-26 09:53:12,task
2019-06-26 09:53:16,task
2019-06-26 09:53:20,survey
2019-06-26 09:53:24,survey
2019-06-26 09:53:28,study
2019-06-26 09:53:32,study
2019-06-26 09:53:36,study
2019-06-26 09:53:40,survey
2019-06-26 09:53:44,study
2019-06-26 09:53:48,task
2019-06-26 09:53:53,task
2019-06-26 09:53:56,task
2019-06-26 09:54:00,is_task
2019-06-26 09:54:04,is_task
2019-06-26 09:54:08,task
2019-06-26 09:54:12,task
2019-06-26 09:54:16,is_study
2019-06-26 09:54:20,is_task
2019-06-26 09:54:24,is_study
2019-06-26 09:54:28,task
2019-06-26 09:54:32,is_survey
2019-06-26 09:54:36,is_study
2019-06-26 09:54:40,task
2019-06-26 09:54:44,is_study
2019-06-26 09:54:48,is_survey
2019-06-26 09:54:52,survey
2019-06-26 09:54:56,is_study
2019-06-26 09:55:00,is_task
2019-06-26 09:55:04,is_task
2019-06-26 09:55:08,survey
2019-06-26 09:55:12,task
2019-06-26 09:55:16,is_task
2019-06-26 09:55:20,survey
2019-06-26 09:55:24,is_task
2019-06-26 09:55:28,is_survey
2019-06-26 09:55:32,is_study
2019-06-26 09:55:36,is_task
2019-06-26 09:55:40,survey
2019-06-26 09:55:44,survey
2019-06-26 09:55:48,study
2019-06-26 09:55:52,survey
2019-06-26 09:55:56,task
2019-06-26 09:56:00,task
2019-06-26 09:56:04,task
2019-06-26 09:56:08,study
2019-06-26 09:56:13,survey
2019-06-26 09:56:16,is_survey
2019-06-26 09:56:20,study
2019-06-26 09:56:24,task
2019-06-26 09:56:28,study
2019-06-26 09:56:32,task
2019-06-26 09:56:36,task
2019-06-26 09:56:40,task
2019-06-26 09:56:44,task
2019-06-26 09:56:48,is_survey
2019-06-26 09:56:52,is_study
2019-06-26 09:56:56,task
2019-06-26 09:57:00,is_task
2019-06-26 09:57:04,is_study
2019-06-26 09:57:08,task
2019-06-26 09:57:12,task
2019-06-26 09:57:16,task
2019-06-26 09:57:20,study
2019-06-26 09:57:24,survey
2019-06-26 09:57:28,task
2019-06-26 09:57:32,is_study
2019-06-26 09:57:36,task
2019-06-26 09:57:40,is_task
2019-06-26 09:57:44,task
2019-06-26 09:57:48,study
2019-06-26 09:57:52,survey
2019-06-26 09:57:56,task
2019-06-26 09:58:00,task
2019-06-26 09:58:04,is_study
2019-06-26 09:58:08,is_survey
2019-06-26 09:58:12,study
2019-06-26 09:58:16,study
2019-06-26 09:58:20,survey
2019-06-26 09:58:24,study
2019-06-26 09:58:28,study
